run_id,dataset_a,dataset_b,n_a,n_b,dim,model,accuracy,roc_auc,error_eps,pad
20260128_123716,ARTAXOR,CADOT,3234,3234,2048,LogReg,0.9996876951905059,0.9999995123285298,0.00031230480949406836,1.9987507807620237
20260128_123716,ARTAXOR,CADOT,3234,3234,2048,MLP,0.9881324172392255,0.9985066524240587,0.011867582760774487,1.952529668956902
20260128_123716,ARTAXOR,CADOT,3234,3234,2048,DomainDiscriminator,0.9935977514053717,0.9983390885069099,0.006402248594628346,1.9743910056214866
20260128_123716,ARTAXOR,COCO,12300,12300,2048,LogReg,0.9804549560647121,0.9985359051631532,0.019545043935287887,1.9218198242588485
20260128_123716,ARTAXOR,COCO,12300,12300,2048,MLP,0.9728997289972899,0.9968203727169551,0.027100271002710064,1.8915989159891597
20260128_123716,ARTAXOR,COCO,12300,12300,2048,DomainDiscriminator,0.9803317730146999,0.9968050806326485,0.01966822698530013,1.9213270920587995
20260128_123716,ARTAXOR,DEEPFRUITS,365,365,2048,LogReg,0.6431535269709544,0.6085612402626224,0.3568464730290456,0.5726141078838176
20260128_123716,ARTAXOR,DEEPFRUITS,365,365,2048,MLP,0.5546334716459198,0.5424388974763166,0.4453665283540802,0.21853388658367923
20260128_123716,ARTAXOR,DEEPFRUITS,365,365,2048,DomainDiscriminator,0.5491009681881052,0.5615195665814726,0.45089903181189483,0.19640387275242066
20260128_123716,ARTAXOR,DIOR,8973,8973,2048,LogReg,0.9933584735746046,0.9994027110047305,0.006641526425395394,1.9734338942984184
20260128_123716,ARTAXOR,DIOR,8973,8973,2048,MLP,0.9710136770417065,0.9913079029839259,0.02898632295829351,1.884054708166826
20260128_123716,ARTAXOR,DIOR,8973,8973,2048,DomainDiscriminator,0.9637530252715709,0.9904282271662789,0.03624697472842908,1.8550121010862837
20260128_123716,ARTAXOR,DOTA,12300,12300,2048,LogReg,0.9966740576496674,0.9998660905728809,0.003325942350332567,1.9866962305986697
20260128_123716,ARTAXOR,DOTA,12300,12300,2048,MLP,0.9768415865976842,0.9967927828969336,0.023158413402315836,1.9073663463907367
20260128_123716,ARTAXOR,DOTA,12300,12300,2048,DomainDiscriminator,0.9896115627822945,0.9983464586624883,0.010388437217705548,1.9584462511291778
20260128_123716,ARTAXOR,FASHIONPEDIA,12300,12300,2048,LogReg,0.9986039254331938,0.9999704409236975,0.001396074566806238,1.994415701732775
20260128_123716,ARTAXOR,FASHIONPEDIA,12300,12300,2048,MLP,0.9816457255481645,0.9976287389323161,0.01835427445183546,1.9265829021926582
20260128_123716,ARTAXOR,FASHIONPEDIA,12300,12300,2048,DomainDiscriminator,0.9887492814322083,0.999509274148388,0.011250718567791695,1.9549971257288332
20260128_123716,ARTAXOR,OKTOBERFEST,835,835,2048,LogReg,0.9667472793228536,0.9799379760179785,0.03325272067714635,1.8669891172914146
20260128_123716,ARTAXOR,OKTOBERFEST,835,835,2048,MLP,0.900241837968561,0.9051743675147566,0.09975816203143895,1.6009673518742442
20260128_123716,ARTAXOR,OKTOBERFEST,835,835,2048,DomainDiscriminator,0.9201934703748489,0.9295628639814951,0.07980652962515111,1.6807738814993956
20260128_123716,ARTAXOR,UODD,2560,2560,2048,LogReg,0.9889524561057408,0.9955257803536597,0.011047543894259215,1.9558098244229631
20260128_123716,ARTAXOR,UODD,2560,2560,2048,MLP,0.9163543105148945,0.9519982284325675,0.08364568948510553,1.6654172420595779
20260128_123716,ARTAXOR,UODD,2560,2560,2048,DomainDiscriminator,0.8185046360228841,0.8434557084790828,0.18149536397711585,1.2740185440915366
20260128_123716,ARTAXOR,XVIEW,12300,12300,2048,LogReg,0.9972489118830582,0.9999523399515788,0.0027510881169418022,1.9889956475322328
20260128_123716,ARTAXOR,XVIEW,12300,12300,2048,MLP,0.9755686950808902,0.9980834853926268,0.02443130491910983,1.9022747803235607
20260128_123716,ARTAXOR,XVIEW,12300,12300,2048,DomainDiscriminator,0.9892830746489283,0.998365854488052,0.010716925351071716,1.9571322985957131
20260128_123716,CADOT,COCO,3234,3234,2048,LogReg,0.9970331043098064,0.999876619118048,0.002966895690193594,1.9881324172392256
20260128_123716,CADOT,COCO,3234,3234,2048,MLP,0.9659587757651468,0.994870671476798,0.03404122423485323,1.863835103060587
20260128_123716,CADOT,COCO,3234,3234,2048,DomainDiscriminator,0.9876639600249844,0.9984175060793125,0.012336039975015645,1.9506558400999374
20260128_123716,CADOT,DEEPFRUITS,365,365,2048,LogReg,0.9432918395573997,0.9380251297041674,0.0567081604426003,1.7731673582295988
20260128_123716,CADOT,DEEPFRUITS,365,365,2048,MLP,0.5131396957123098,0.7687975390642934,0.4868603042876902,0.052558782849239094
20260128_123716,CADOT,DEEPFRUITS,365,365,2048,DomainDiscriminator,0.6265560165975104,0.5830871887482592,0.37344398340248963,0.5062240663900415
20260128_123716,CADOT,DIOR,3234,3234,2048,LogReg,0.9444097439100562,0.9889145447430772,0.055590256089943835,1.7776389756402247
20260128_123716,CADOT,DIOR,3234,3234,2048,MLP,0.9186445971267958,0.9755605881083849,0.0813554028732042,1.6745783885071832
20260128_123716,CADOT,DIOR,3234,3234,2048,DomainDiscriminator,0.9261399125546533,0.975950091311606,0.07386008744534667,1.7045596502186133
20260128_123716,CADOT,DOTA,3234,3234,2048,LogReg,0.9287945034353529,0.9794227998506556,0.07120549656464714,1.7151780137414114
20260128_123716,CADOT,DOTA,3234,3234,2048,MLP,0.9072454715802624,0.9676382675412502,0.09275452841973764,1.6289818863210495
20260128_123716,CADOT,DOTA,3234,3234,2048,DomainDiscriminator,0.9253591505309182,0.9754363781849335,0.07464084946908178,1.7014366021236729
20260128_123716,CADOT,FASHIONPEDIA,3234,3234,2048,LogReg,0.9987507807620237,0.999997269039767,0.0012492192379762734,1.995003123048095
20260128_123716,CADOT,FASHIONPEDIA,3234,3234,2048,MLP,0.9898500936914428,0.9969463963224109,0.010149906308557166,1.9594003747657713
20260128_123716,CADOT,FASHIONPEDIA,3234,3234,2048,DomainDiscriminator,0.9948469706433479,0.9988785506872071,0.005153029356652072,1.9793878825733917
20260128_123716,CADOT,OKTOBERFEST,835,835,2048,LogReg,0.9951632406287787,0.9997514361870896,0.0048367593712213,1.9806529625151148
20260128_123716,CADOT,OKTOBERFEST,835,835,2048,MLP,0.9594921402660218,0.999767519727925,0.04050785973397819,1.8379685610640872
20260128_123716,CADOT,OKTOBERFEST,835,835,2048,DomainDiscriminator,0.9873035066505441,0.9980421944383115,0.012696493349455884,1.9492140266021765
20260128_123716,CADOT,UODD,2560,2560,2048,LogReg,0.9954626159005721,0.9987806074078918,0.0045373840994279435,1.9818504636022882
20260128_123716,CADOT,UODD,2560,2560,2048,MLP,0.9625172617873348,0.9722586239373319,0.037482738212665234,1.850069047149339
20260128_123716,CADOT,UODD,2560,2560,2048,DomainDiscriminator,0.9571907674097455,0.9602295565321489,0.04280923259025449,1.828763069638982
20260128_123716,CADOT,XVIEW,3234,3234,2048,LogReg,0.9726733291692692,0.996734551835771,0.027326670830730815,1.8906933166770767
20260128_123716,CADOT,XVIEW,3234,3234,2048,MLP,0.9019362898188632,0.9637756168946562,0.0980637101811368,1.6077451592754528
20260128_123716,CADOT,XVIEW,3234,3234,2048,DomainDiscriminator,0.9509681449094316,0.9859892961964355,0.0490318550905684,1.8038725796377264
20260128_123716,COCO,DEEPFRUITS,365,365,2048,LogReg,0.710926694329184,0.5890864847492386,0.289073305670816,0.8437067773167359
20260128_123716,COCO,DEEPFRUITS,365,365,2048,MLP,0.6099585062240664,0.7973936731914113,0.39004149377593356,0.4398340248962658
20260128_123716,COCO,DEEPFRUITS,365,365,2048,DomainDiscriminator,0.5283540802213001,0.43452809109135154,0.47164591977869985,0.1134163208852006
20260128_123716,COCO,DIOR,8973,8973,2048,LogReg,0.9929082005966117,0.9996940059687337,0.0070917994033883325,1.9716328023864467
