pair,source,dataset_a,dataset_b,wasserstein,mk_mmd,dsi_10_mean,dsi_10_std,auc_learning_mean,auc_learning_std,convergence_rate_mean,convergence_rate_std,stability_mean,stability_std,saturation_shot_mean,auc_500_mean,mean_pad_max_mean,interpretation
oktoberfest vs dota-bg_blurry,oktoberfest,oktoberfest,dota-bg_blurry,0.5475529874288393,0.0763277727864137,87.48444444444446,8.967350252668036,76.55105457028601,3.662089476824118,87.68110826386703,8.85516406680063,93.76294041074458,1.7323793552369926,20.0,0.9999974753100171,1.9953126882593832,Très fort
uodd vs dota-bg_blurry,uodd,uodd,dota-bg_blurry,0.6339474851137402,0.1087118613456065,77.76705882352941,18.164221280237054,75.2038885665075,6.264230587510445,78.15053143166351,17.997518680725815,93.40286522874784,1.6743257274412044,20.0,0.9999583553272379,1.9891294498381875,Très fort
artaxor vs dota-bg_blurry,artaxor,artaxor,dota-bg_blurry,0.545615869603297,0.0851241456649005,77.32481692432873,19.663520435584157,73.12927500863678,6.581479167475641,77.68073318687817,19.55515864759064,93.89763248342547,1.851340137022696,28.333333333333332,0.9999560811189313,1.9899073446327684,Très fort
deepfruits vs dota-bg_blurry,deepfruits,deepfruits,dota-bg_blurry,0.7115295582473893,0.0873113019874333,75.87699530516431,18.09357640458008,69.60218015102093,7.4293092925983215,76.96616384717959,17.93772468990956,91.67014653064525,2.163158150097898,28.333333333333332,0.9997721487082544,1.9700289855072466,Très fort
fashionpedia vs dota-bg_blurry,fashionpedia,fashionpedia,dota-bg_blurry,0.5324698855415232,0.0665095738368108,71.36644924358693,21.094025318070507,71.51539614112338,7.086527837001571,71.42566561203387,21.096013076048603,93.38095278151415,1.6508233431012156,28.333333333333332,0.999995813180644,1.9982647184102824,Très fort
cadot vs dota-bg_blurry,cadot,cadot,dota-bg_blurry,0.5647541788146857,0.096136917034164,68.48252688172045,15.3617350713005,69.05184949069901,6.510216362235158,70.7982126651351,15.570791637985689,92.60906101596453,2.056244584681447,133.33333333333334,0.9984535278921923,1.9333747866374054,Fort
coco vs dota-bg_blurry,coco,coco,dota-bg_blurry,0.394006728332606,0.0500464181499103,62.35819915398785,25.87772914010555,68.08385958596489,8.000506628054447,62.572874202438335,25.877901210448133,93.65826716605808,1.5124937744441362,108.33333333333333,0.99996900550485,1.9923819719210496,Fort
dior vs dota-bg_blurry,dior,dior,dota-bg_blurry,0.38148663352802,0.0474582735349664,59.75172003421471,13.922875813400102,60.7700261682337,5.469524914809127,64.15014670512143,14.639290394496841,93.78907078546092,1.6180492294355902,250.0,0.9943871379436109,1.8615161886777607,Fort
xview vs dota-bg_blurry,xview,xview,dota-bg_blurry,0.4004484068734317,0.0520907955835918,59.64828390270393,14.723010682446406,60.99185356584456,6.541122209774961,62.431589997694154,15.047575801970579,94.20967330130266,1.108949336555121,250.0,0.9978149293830937,1.9091735766972506,Fort
dota vs dota-bg_blurry,dota,dota,dota-bg_blurry,0.3324238163381203,0.0484475256125055,50.9491650794238,14.595993897082268,53.866381218399646,4.767334687666069,62.43142777880221,18.182711653191244,94.11714897718042,0.9482085107426899,200.0,0.9590085635947286,1.633617855076791,Fort
dior_bg vs dota-bg_blurry,dior_bg,dior_bg,dota-bg_blurry,0.3148271842742751,0.0533001543643573,36.660022894377676,11.45593521289304,42.33352788340263,3.898842650059832,49.49772281205626,15.513121618466275,93.88996292704674,1.459958910159539,416.6666666666667,0.941257099936025,1.4817466985730745,Modéré
dior-bg_blurry vs dota-bg_blurry,dior-bg_blurry,dior-bg_blurry,dota-bg_blurry,0.2337687265177572,0.0263119702770685,18.667702183343113,4.744650022410731,27.008505524344184,2.1514481380782478,32.3661704869738,8.84227031158014,95.6657003005203,0.576006482297336,500.0,0.8679367900938928,1.1571407213604934,Faible
