pair,model,dsi_10,auc_learning,slope_10,convergence_rate,stability,acc_10,acc_500,roc_auc_10,interpretation
DIOR_blurry vs DOTA_blurry,LogReg,4.8446927374301785,4.9970368052128835,-0.08135232194844318,57.173686384783,97.29678352316436,52.42234636871509,54.23682033096926,0.5374755016385256,Négligeable
DIOR_blurry vs DOTA_blurry,MLP,3.2927374301676027,4.585454038654675,2.677552849906798,31.19610130378857,97.51093717516287,51.6463687150838,55.27748226950353,0.5216809737523798,Négligeable
DIOR_blurry vs DOTA_blurry,Discriminator,2.3480446927374388,3.69919983442394,1.7912919393680966,23.45410957029187,97.89135433703785,51.174022346368716,55.00561465721041,0.5153780571767423,Négligeable
