dataset_a,dataset_b,model,dsi_10,auc_learning,slope_10,convergence_rate,stability,saturation_shot,auc_500,mean_pad_max
fashionpedia,dota-bg_blurry,LogReg,95.19902433676823,79.32880339933703,0.3649494192973436,95.25935861579599,95.09947178928385,10,0.9999966682100582,1.9987332629590535
fashionpedia,dota-bg_blurry,MLP,63.804949572462164,69.71389488888407,0.20562296141410974,63.86864434250208,93.23600205195488,25,0.9999957862795068,1.9980054447469304
fashionpedia,dota-bg_blurry,Discriminator,55.09537382153036,65.50349013514901,0.1645040494238421,55.148993877803555,91.8073845033037,50,0.9999949850523672,1.9980554475248629
oktoberfest,dota-bg_blurry,LogReg,97.21090909090913,80.495237308942,0.38299699149771105,97.29960396799561,95.76069628585151,10,1.0,1.998176870748299
oktoberfest,dota-bg_blurry,MLP,85.69696969696967,75.89936701393799,0.31793328973185075,85.8764129479056,92.675367332072,25,0.9999986633994208,1.995820895522388
oktoberfest,dota-bg_blurry,Discriminator,79.54545454545455,73.25855938797804,0.30905820797907113,79.86730787569988,92.85275761431022,25,0.9999937625306304,1.9919402985074623
uodd,dota-bg_blurry,LogReg,95.08745098039215,81.88737395080156,0.2900972783486194,95.26966577804534,95.0540379062734,10,0.9999972381939862,1.9961747572815531
uodd,dota-bg_blurry,MLP,79.35098039215688,74.25773602961395,0.2154438429533596,79.79449835632184,93.44824859859516,25,0.9999624964652654,1.9888834951456311
uodd,dota-bg_blurry,Discriminator,58.86274509803919,69.46655571910702,0.11278773877663595,59.38743016062335,91.70630918137498,25,0.9999153313224622,1.9823300970873785
xview,dota-bg_blurry,LogReg,74.21963490010066,68.06525162082967,0.270801239634603,77.12570859192994,95.27273877799607,250,0.9986530766321718,1.92464059663412
xview,dota-bg_blurry,MLP,59.94705572325236,59.74896353868547,0.2081835544783307,63.11520293706754,94.29635369387682,250,0.9972221161626909,1.8996074775526224
xview,dota-bg_blurry,Discriminator,44.778161084758764,55.16134553801852,0.14252346825904294,47.053858464085025,93.05992743203507,250,0.9975695953544186,1.9032726559050095
artaxor,dior-bg_blurry,LogReg,95.0034174125305,79.4198302550273,0.3467521874773204,95.22210546830941,95.52774365876613,10,0.9999825954467108,1.995406779661017
artaxor,dior-bg_blurry,MLP,69.12855980471929,71.29819983175389,0.2026941853151648,69.50109746698938,92.78135224032833,25,0.9999265525351908,1.989279661016949
artaxor,dior-bg_blurry,Discriminator,58.20626525630595,66.43879733901971,0.1436067389167034,58.677174444432026,93.01293108363613,100,0.9998646450373456,1.9839491525423725
cadot,dior-bg_blurry,LogReg,87.20316377171216,76.20990868219207,0.28393416095568424,89.62439937441677,95.30388168556675,25,0.9989848364281054,1.9459692757863936
