pair,source,dataset_a,dataset_b,wasserstein,mk_mmd,dsi_10_mean,dsi_10_std,auc_learning_mean,auc_learning_std,convergence_rate_mean,convergence_rate_std,stability_mean,stability_std,saturation_shot_mean,auc_500_mean,mean_pad_max_mean,interpretation
oktoberfest vs dota-bg_blurry,oktoberfest,oktoberfest,dota-bg_blurry,0.5475529874288393,0.0763277727864137,87.48444444444446,8.967350252668036,76.55105457028601,3.662089476824118,87.68110826386703,8.85516406680063,93.76294041074458,1.7323793552369926,20.0,0.9999974753100171,1.9953126882593832,Très fort
oktoberfest vs dior-bg_blurry,oktoberfest,oktoberfest,dior-bg_blurry,0.52143544169386,0.0739877487577737,86.46060606060605,10.6701733216671,74.94621625764132,4.758696397998644,86.65149231769055,10.578544784763274,94.6366648454923,1.3452120742215097,20.0,0.9999971782876661,1.9953847854743376,Très fort
uodd vs dior-bg_blurry,uodd,uodd,dior-bg_blurry,0.72817442486298,0.112881017406471,79.56261437908496,14.975233945798148,75.59824016378319,5.96246003836195,79.98794695523613,14.73106248517485,93.75952774467824,1.355333970958032,28.333333333333332,0.9999452956609168,1.9883754045307445,Très fort
uodd vs dota-bg_blurry,uodd,uodd,dota-bg_blurry,0.6339474851137402,0.1087118613456065,77.76705882352941,18.164221280237054,75.2038885665075,6.264230587510445,78.15053143166351,17.997518680725815,93.40286522874784,1.6743257274412044,20.0,0.9999583553272379,1.9891294498381875,Très fort
artaxor vs dota-bg_blurry,artaxor,artaxor,dota-bg_blurry,0.545615869603297,0.0851241456649005,77.32481692432873,19.663520435584157,73.12927500863678,6.581479167475641,77.68073318687817,19.55515864759064,93.89763248342547,1.851340137022696,28.333333333333332,0.9999560811189313,1.9899073446327684,Très fort
fashionpedia vs dior-bg_blurry,fashionpedia,fashionpedia,dior-bg_blurry,0.4705012337759289,0.0640767966833927,76.28112438792662,21.429796762624658,71.35334719556404,7.39477153613014,76.3803583059215,21.43011959327002,94.30967867055087,1.8710411535724258,28.333333333333332,0.999989499037734,1.9972668851973259,Très fort
deepfruits vs dota-bg_blurry,deepfruits,deepfruits,dota-bg_blurry,0.7115295582473893,0.0873113019874333,75.87699530516431,18.09357640458008,69.60218015102093,7.4293092925983215,76.96616384717959,17.93772468990956,91.67014653064525,2.163158150097898,28.333333333333332,0.9997721487082544,1.9700289855072466,Très fort
artaxor vs dior-bg_blurry,artaxor,artaxor,dior-bg_blurry,0.6007070997983149,0.0848169967612067,74.11274749118525,18.898126808562917,72.38560914193364,6.558479103230972,74.46679245991027,18.771696539125827,93.77400899424354,1.5231861820959653,45.0,0.9999245976730823,1.9895451977401128,Très fort
deepfruits vs dior-bg_blurry,deepfruits,deepfruits,dior-bg_blurry,0.747008065463656,0.0884200647810771,73.93802816901407,19.53660078123369,71.6206464386264,6.417016844423889,74.50985378975506,19.449844041692522,92.21668810350634,1.9135912822559593,28.333333333333332,0.9995392564587272,1.9835362318840584,Très fort
fashionpedia vs dota-bg_blurry,fashionpedia,fashionpedia,dota-bg_blurry,0.5324698855415232,0.0665095738368108,71.36644924358693,21.094025318070507,71.51539614112338,7.086527837001571,71.42566561203387,21.096013076048603,93.38095278151415,1.6508233431012156,28.333333333333332,0.999995813180644,1.9982647184102824,Très fort
cadot vs dior-bg_blurry,cadot,cadot,dior-bg_blurry,0.5764724793840583,0.0977167701396497,68.87127791563277,18.3690638021693,70.60759807490909,6.01490376822317,71.10139327357014,18.671476997650835,93.75924502269292,2.0374793951507795,75.0,0.9985127162233344,1.9359156303340648,Fort
cadot vs dota-bg_blurry,cadot,cadot,dota-bg_blurry,0.5647541788146857,0.096136917034164,68.48252688172045,15.3617350713005,69.05184949069901,6.510216362235158,70.7982126651351,15.570791637985689,92.60906101596453,2.056244584681447,133.33333333333334,0.9984535278921923,1.9333747866374054,Fort
