run_id,dataset_a,dataset_b,n_a,n_b,dim,model,accuracy,roc_auc,error_eps,pad
20260128_122326,ARTAXOR,CADOT,3234,3234,2048,LogReg,0.9996745321399512,0.9999998940706692,0.00032546786004883366,1.9986981285598047
20260128_122326,ARTAXOR,CADOT,3234,3234,2048,MLP,0.9970707892595606,0.9995624059347543,0.002929210740439392,1.9882831570382424
20260128_122326,ARTAXOR,CADOT,3234,3234,2048,DomainDiscriminator,0.995606183889341,0.9987219626247424,0.004393816110659032,1.9824247355573639
20260128_122326,ARTAXOR,COCO,12300,12300,2048,LogReg,0.9943089430894309,0.9996313513570917,0.005691056910569148,1.9772357723577234
20260128_122326,ARTAXOR,COCO,12300,12300,2048,MLP,0.9896448438168592,0.9988584306084938,0.010355156183140757,1.958579375267437
20260128_122326,ARTAXOR,COCO,12300,12300,2048,DomainDiscriminator,0.9917415489944373,0.9991685026775273,0.008258451005562661,1.9669661959777494
20260128_122326,ARTAXOR,DEEPFRUITS,365,365,2048,LogReg,0.9870317002881844,0.992724796319212,0.012968299711815567,1.9481268011527377
20260128_122326,ARTAXOR,DEEPFRUITS,365,365,2048,MLP,0.8703170028818443,0.9101063873962909,0.12968299711815567,1.4812680115273773
20260128_122326,ARTAXOR,DEEPFRUITS,365,365,2048,DomainDiscriminator,0.7680115273775217,0.8672524479067178,0.23198847262247835,1.0720461095100866
20260128_122326,ARTAXOR,DIOR,8973,8973,2048,LogReg,0.9977711302715702,0.9999781056351499,0.0022288697284298387,1.9910845210862806
20260128_122326,ARTAXOR,DIOR,8973,8973,2048,MLP,0.9936653176139363,0.9997938682017032,0.006334682386063717,1.9746612704557451
20260128_122326,ARTAXOR,DIOR,8973,8973,2048,DomainDiscriminator,0.9943105167458502,0.9998271569940178,0.005689483254149752,1.977242066983401
20260128_122326,ARTAXOR,DOTA,12300,12300,2048,LogReg,0.9977321352160891,0.9999535151894996,0.0022678647839109445,1.9909285408643562
20260128_122326,ARTAXOR,DOTA,12300,12300,2048,MLP,0.992255027813436,0.9993417276244244,0.007744972186564003,1.969020111253744
20260128_122326,ARTAXOR,DOTA,12300,12300,2048,DomainDiscriminator,0.996790757381258,0.9998172539795799,0.003209242618742003,1.987163029525032
20260128_122326,ARTAXOR,FASHIONPEDIA,12300,12300,2048,LogReg,0.9993581514762516,0.999993408487561,0.0006418485237483784,1.9974326059050065
20260128_122326,ARTAXOR,FASHIONPEDIA,12300,12300,2048,MLP,0.9765511339323919,0.9988778462745779,0.0234488660676081,1.9062045357295676
20260128_122326,ARTAXOR,FASHIONPEDIA,12300,12300,2048,DomainDiscriminator,0.9978605049208387,0.9999501828137665,0.0021394950791613354,1.9914420196833547
20260128_122326,ARTAXOR,OKTOBERFEST,835,835,2048,LogReg,0.9930686830497795,0.9993678947719498,0.006931316950220534,1.9722747321991179
20260128_122326,ARTAXOR,OKTOBERFEST,835,835,2048,MLP,0.9880277252678009,0.9966361837361548,0.011972274732199084,1.9521109010712037
20260128_122326,ARTAXOR,OKTOBERFEST,835,835,2048,DomainDiscriminator,0.9691241335853812,0.9933216017991175,0.030875866414618813,1.8764965343415247
20260128_122326,ARTAXOR,UODD,2560,2560,2048,LogReg,0.9995888157894737,0.99999932371018,0.0004111842105263275,1.9983552631578947
