run_id,dataset_a,dataset_b,n_a,n_b,dim,model,accuracy,roc_auc,error_eps,pad
20260127_120130,CADOT,OKTOBERFEST,835,835,2048,DomainDiscriminator,0.9970059880239521,1.0,0.0029940119760478723,1.9880239520958085
20260127_120130,CADOT,UODD,2560,2560,2048,LogReg,1.0,1.0,0.0,2.0
20260127_120130,CADOT,UODD,2560,2560,2048,MLP,0.9990234375,1.0,0.0009765625,1.99609375
20260127_120130,CADOT,UODD,2560,2560,2048,DomainDiscriminator,1.0,1.0,0.0,2.0
20260127_120130,CADOT,XVIEW,3234,3234,2048,LogReg,0.9984544049459042,0.9999976111359288,0.0015455950540957941,1.9938176197836168
20260127_120130,CADOT,XVIEW,3234,3234,2048,MLP,0.9969088098918083,0.9999808890874301,0.0030911901081916993,1.9876352395672332
20260127_120130,CADOT,XVIEW,3234,3234,2048,DomainDiscriminator,0.9984544049459042,0.99998088908743,0.0015455950540957941,1.9938176197836168
20260127_120130,COCO,DEEPFRUITS,365,365,2048,LogReg,0.9794520547945206,0.9994370425971102,0.020547945205479423,1.9178082191780823
20260127_120130,COCO,DEEPFRUITS,365,365,2048,MLP,0.9794520547945206,0.9911803340213925,0.020547945205479423,1.9178082191780823
20260127_120130,COCO,DEEPFRUITS,365,365,2048,DomainDiscriminator,0.9794520547945206,0.9973728654531807,0.020547945205479423,1.9178082191780823
20260127_120130,COCO,DIOR,8973,8973,2048,LogReg,0.9991643454038998,1.0,0.0008356545961002437,1.996657381615599
20260127_120130,COCO,DIOR,8973,8973,2048,MLP,0.9983286908077994,0.9999816885343845,0.0016713091922005985,1.9933147632311976
20260127_120130,COCO,DIOR,8973,8973,2048,DomainDiscriminator,0.9988857938718663,0.9999956549064641,0.0011142061281337323,1.995543175487465
20260127_120130,COCO,DOTA,54087,54087,2048,LogReg,0.9997688929974579,0.9999998290865705,0.00023110700254214134,1.9990755719898314
20260127_120130,COCO,DOTA,54087,54087,2048,MLP,0.9991680147908482,0.9999932147368464,0.000831985209151842,1.9966720591633926
20260127_120130,COCO,DOTA,54087,54087,2048,DomainDiscriminator,0.9993066789923735,0.9999985386901772,0.000693321007626535,1.9972267159694939
20260127_120130,COCO,FASHIONPEDIA,36498,36498,2048,LogReg,0.9883561643835617,0.9986657815725277,0.011643835616438336,1.9534246575342467
20260127_120130,COCO,FASHIONPEDIA,36498,36498,2048,MLP,0.9896575342465753,0.9993502908613249,0.010342465753424679,1.9586301369863013
20260127_120130,COCO,FASHIONPEDIA,36498,36498,2048,DomainDiscriminator,0.99,0.9993306155000937,0.010000000000000009,1.96
20260127_120130,COCO,OKTOBERFEST,835,835,2048,LogReg,0.9970059880239521,1.0,0.0029940119760478723,1.9880239520958085
20260127_120130,COCO,OKTOBERFEST,835,835,2048,MLP,0.9940119760479041,1.0,0.005988023952095856,1.9760479041916166
20260127_120130,COCO,OKTOBERFEST,835,835,2048,DomainDiscriminator,0.9910179640718563,0.9999282871382982,0.008982035928143728,1.964071856287425
20260127_120130,COCO,UODD,2560,2560,2048,LogReg,1.0,1.0,0.0,2.0
20260127_120130,COCO,UODD,2560,2560,2048,MLP,0.9951171875,0.9999656677246094,0.0048828125,1.98046875
20260127_120130,COCO,UODD,2560,2560,2048,DomainDiscriminator,1.0,1.0,0.0,2.0
20260127_120130,COCO,XVIEW,20881,20881,2048,LogReg,0.9995211301328863,0.9999998280127353,0.00047886986711365154,1.9980845205315454
20260127_120130,COCO,XVIEW,20881,20881,2048,MLP,0.9986831078654376,0.9999923179021772,0.0013168921345624307,1.9947324314617503
20260127_120130,COCO,XVIEW,20881,20881,2048,DomainDiscriminator,0.9991619777325512,0.9999978214946472,0.0008380222674487792,1.9966479109302049
20260127_120130,DEEPFRUITS,DIOR,365,365,2048,LogReg,1.0,1.0,0.0,2.0
