source,dataset_a,dataset_b,dsi_10_mean,dsi_10_std,auc_learning_mean,auc_learning_std,convergence_rate_mean,convergence_rate_std,stability_mean,stability_std,auc_500_mean,auc_500_std,mean_pad_max_mean,mean_pad_max_std,wasserstein,mk_mmd,interpretation
coco,coco,dota-bg_blurry,81.03431880217867,14.903312895285277,98.59778406469563,0.5995337135457919,62.572874202438335,25.877901210448133,93.65826716605808,1.5124937744441362,99.99690055048501,0.0014338118023650107,199.238197192105,0.2794579469787207,0.394006728332606,0.0500464181499103,Très fort
coco,coco,dior-bg_blurry,79.47189688011161,15.623388016152012,98.46145993148969,0.6700860632003739,62.068669977405875,25.478844019580865,93.09759964694304,2.483126089016526,99.99633808139758,0.002278106903034372,199.15637783176558,0.32593242772259745,0.4075232739281395,0.0471551203026803,Très fort
cadot,cadot,dior-bg_blurry,79.03026268428268,14.036714899315522,98.14057658301982,0.6508645464961929,71.10139327357014,18.671476997650835,93.75924502269292,2.0374793951507795,99.85127162233346,0.04209185560821189,193.5915630334065,0.8720703000831156,0.5764724793840583,0.0977167701396497,Très fort
cadot,cadot,dota-bg_blurry,76.78870837540815,13.34983711399449,97.93119162864157,0.71657104881488,70.7982126651351,15.570791637985689,92.60906101596453,2.056244584681447,99.84535278921925,0.034762709442158826,193.3374786637405,0.8254668563599782,0.5647541788146857,0.096136917034164,Très fort
dior,dior,dota-bg_blurry,75.09146783155997,10.467160920209322,95.69933522511157,1.0727830620454804,64.15014670512143,14.639290394496841,93.78907078546092,1.6180492294355902,99.43871379436109,0.07298558974052986,186.15161886777608,0.9161639145029595,0.38148663352802,0.0474582735349664,Très fort
xview,xview,dota-bg_blurry,73.38486102087415,11.278286372385708,96.41891601045091,1.1647564554652636,62.431589997694154,15.047575801970579,94.20967330130266,1.108949336555121,99.78149293830938,0.0746360204943833,190.91735766972508,1.351961213882768,0.4004484068734317,0.0520907955835918,Très fort
dior,dior,dior-bg_blurry,68.19816278348499,9.756492166265652,92.42009015674641,0.8290166080117223,57.39833584118593,15.272275609564936,93.57593633881447,2.1463894315869316,98.10555389790561,0.06896548266508426,174.98823714544235,0.23963122433591785,0.3265597422233394,0.0413877483278112,Fort
xview,xview,dior-bg_blurry,65.24552259182401,15.68316150523129,96.51703150557124,1.1412296889490223,54.58874141926487,16.043633358169256,94.27189594987873,1.19899808954068,99.80965513594742,0.043202716233904016,192.32638241499436,0.9395839132466879,0.3785220361714131,0.0511985513850475,Fort
dota,dota,dota-bg_blurry,64.52326961320225,10.750148357208108,88.1902820893206,0.6761293066540036,62.43142777880221,18.182711653191244,94.11714897718042,0.9482085107426899,95.90085635947285,0.14029243944438166,163.36178550767912,0.8797384988915881,0.3324238163381203,0.0484475256125055,Fort
dota,dota,dior-bg_blurry,56.579585702879946,14.25684108107586,90.70371291659212,1.1241824965313776,51.17819641107679,16.578692060530905,94.23820699842265,1.5457154081912314,97.85589048699039,0.007972505560403709,172.12078800206518,0.0967052760981421,0.3286568809809013,0.0434184930010179,Fort
dior_bg,dior_bg,dior-bg_blurry,44.29165068205341,9.732603552081706,71.18750633754773,0.6256940967047185,58.41502032322086,16.260159503813536,93.90111141501895,0.938553022633717,88.51044241224224,0.3789271798172616,123.47322411179634,1.130129297566085,0.3051141622402032,0.0565539969983474,Modéré
dior_bg,dior_bg,dota-bg_blurry,43.59221160978118,9.798484896374648,80.88416613817033,0.3401798207397373,49.49772281205626,15.513121618466275,93.88996292704674,1.459958910159539,94.12570999360248,0.262976707189489,148.17466985730744,0.39430057644088595,0.3148271842742751,0.0533001543643573,Modéré
dior-bg_blurry,dior-bg_blurry,dota-bg_blurry,24.911151656949546,4.970595103500554,63.32359209188912,0.2037766741344546,32.3661704869738,8.84227031158014,95.6657003005203,0.576006482297336,86.79367900938928,0.629397469675565,115.71407213604932,1.9816227187699924,0.2337687265177572,0.0263119702770685,Faible
